SMILES,Accumulation P. aeruginosa PAO1,Accumulation E. coli,ASA,ASA_H,a_acc,a_aro,a_base,a_don,a_hyd,a_nN,a_nO,b_rotN,h_logD,h_logP,h_logS,h_pKa,rings,SlogP,TPSA,h_pavgQ,Weight
[N+H3]CCNc1c2c([n+H]c(N3CCN(c4ccccc4)CC3)c1)cccc2,4540,6851,611.34253,611.34253,0,16,4,0,20,5,0,5,0.72573823,-2.9052787,-0.87216663,6.4250202,4,1.6343,60.290001,1.2429937,349.48199
[N+H3]CCC(Nc1cc(-c2n[nH]c3nc(NCCN4CCOCC4)ncc23)ccc1)c1ccccc1,4367,7457,782.18567,782.18567,6,21,1,5,24,8,1,10,-0.95381045,-3.0622087,-2.2275021,9.5764217,5,2.6447001,118.63,1.5089484,473.60498
[N+H3]CCC(Nc1nc(-c2n[nH]c3nc(NC4CCC([N+H3])CC4)ncc23)ccn1)c1ccccc1,3433,5600,743.42609,743.42609,6,21,2,5,21,10,0,8,-4.2706742,-9.0005045,0.94822353,9.1068373,5,1.6556,159.58,1.9971727,460.59
Fc1c(F)c(-c2n3c(C(Nc4ncc(C(=O)NCCOCC[N+H3])c(C)c4)=CC=C3)nc2)ccc1OC,2757,6846,806.04303,806.04303,5,17,1,2,24,6,3,11,1.8413016,-0.79816794,-3.3943462,9.2192211,4,2.46592,117.94,1.4293226,497.526
O=S1(=O)c2c(cccc2)CN(c2[n+H]c3c(c(N4CC([N+H3])CC4)c2)cc(C)cc3)CC1,2667,3360,637.3681,637.3681,2,16,4,0,22,4,2,2,1.441465,-2.6967604,-1.7332363,7.4271393,5,1.84322,82.400002,1.8213048,424.569
O=C(N)c1cc2c(NCCC[N+H3])cc(N3Cc4c(S(=O)(=O)CC3)cccc4)[n+H]c2cc1,2650,5446,672.42566,672.42566,3,16,4,1,20,5,3,6,-1.2662662,-4.2059927,-0.8813771,6.6183586,4,0.85699999,134.28,1.4701842,441.556
O=C1NC(C2CN(Cc3ncn(-c4ncc(C[N+H3])cn4)c3)CCC2)=NC(c2sccc2)=C1,2630,2109,729.95959,729.95959,6,16,1,1,19,8,1,6,0.025952075,-2.7233825,-2.7325749,8.4010153,5,1.7799,115.94,1.8047463,449.56299
S(=O)(=O)(CC[N+H3])CCNc1c2c([n+H]c(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2,2500,3215,707.44525,707.44525,4,16,4,0,22,4,4,7,1.6341504,-4.1981511,-1.1820875,6.6052189,4,1.09122,125.33,0.61043286,490.64899
[N+H3]C[C@H]1c2c(C)cccc2[C@@H]2[C@@]31C[C@H]([N+H3])[C@](C)(C3)CC2,2490,946,439.37158,439.37158,0,6,2,0,18,2,0,1,-2.9342048,-7.1619263,2.1752124,9.4786386,4,1.60852,55.279999,1.996685,272.436
[N+H3]CCNc1c2c([n+H]c(N3Cc4c(cccc4)CCC3)c1)cccc2,2487,3150,593.13641,593.13641,0,16,4,0,20,4,0,4,1.0461284,-2.5725374,-0.99163157,6.4754276,4,2.52687,57.049999,1.2587095,334.46698
O=C(Nc1cc(CCC[N+H3])cnc1)c1cc2N=C(N)CC(C(=O)N(CCC)CCC)=Cc2cc1,2333,6314,787.2276,787.2276,4,12,1,2,23,6,2,12,0.33988565,-1.6971787,-2.6843052,9.962307,3,2.93277,128.32001,1.2211964,463.60599
O=C(Nc1c2c(nc(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2)C[N+H3],2207,2310,621.88507,621.88507,4,16,1,1,19,4,3,4,1.6581863,-2.6509151,-1.9943113,7.8382158,4,1.78392,107.01,1.0998892,411.50598
FC(F)(C(F)(F)CNc1c2c([n+H]c(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2)C[N+H3],2113,1535,691.92621,691.92621,2,16,4,0,26,4,2,6,3.1936758,-2.4877598,-1.8834316,6.3976722,4,2.9470201,91.190002,0.40128568,498.54498
FC1(F)c2c(cccc2)CN(c2[n+H]c3c(c(NCC([N+H3])C)c2)cc(C)cc3)CC1,2017,2898,642.1734,642.1734,0,16,4,0,24,4,0,4,1.7039942,-1.7136985,-1.723735,6.3906493,4,4.08462,57.049999,1.245182,398.50098
Clc1ccc(/C=C/c2nc(NCC[N+H3])c3c(n2)ccc(C)c3)cc1,1943,2926,609.73029,609.73029,2,16,1,1,18,4,0,5,2.354774,-0.83943373,-2.445256,8.6817207,3,3.4158199,65.449997,1.4905936,339.85001
[N+H3]CC(Nc1nc(-c2n[n-]c3nc(NCCN4CCOCC4)ncc23)ccn1)c1ccccc1,1923,9021,762.8938,762.8938,6,21,1,2,20,10,1,9,-1.5300286,-5.2870865,-1.5519038,10.668455,5,0.67369998,128.62,1.5686359,460.54599
O=S1(=O)c2c(cccc2)CN(c2nc3c(c(N4CC([N+H3])CC4)c2)cncc3)CC1,1880,5143,611.10718,611.10718,4,16,1,0,20,5,2,2,-0.090956628,-3.4020042,-1.723488,8.6576033,5,1.5107,94.040001,2.0781543,410.522
[N+H3][C@H]1c2nc3c(cc2[C@@H]([N+H3])CC1)cccc3,1860,2161,394.11218,394.11218,1,10,2,0,13,3,0,0,-0.72801483,-8.3027096,2.9332709,7.5832434,3,0.78560001,68.169998,1.7803372,215.3
O=S1(=O)c2c(cccc2)CN(c2[n+H]c3c(c(N4C[C@H]5C([N+H3])[C@H]5C4)c2)cc(C)cc3)CC1,1853,4769,652.61664,652.61664,2,16,4,0,23,4,2,2,0.32975972,-2.8472574,-1.8657751,7.8787851,6,1.69912,82.400002,2.0223074,436.57999
[N+H3]CC[C@@H](Nc1nc(-c2n[nH]c3nc(NCCN4CCOCC4)ncc23)ccn1)c1ccccc1,1823,6127,784.87323,784.87323,8,21,1,5,21,10,1,10,-2.2449918,-4.4996595,-1.6247559,9.3560553,5,1.4347,144.41,1.6239656,475.58099
[N+H3]Cc1ccc(-c2ccccc2)cc1,1817,616,386.18274,386.18274,0,12,1,0,13,1,0,2,0.72978956,-1.8421793,-0.8511523,9.3960114,2,2.3619001,27.639999,0.99599826,184.26199
FC1(F)c2c(cccc2)CN(c2[n+H]c3c(c(N4CC([N+H3])CC4)c2)cc(C)cc3)CC1,1783,2674,634.79358,634.79358,0,16,4,0,25,4,0,2,2.496068,-1.6052073,-2.0135448,7.4965754,5,3.86292,48.259998,1.8130413,410.51199
O=C(Nc1c2c(nc(N3Cc4c(S(=O)(=O)CC3)cccc4)c1)ccc(C)c2)C([N+H3])CC,1757,909,666.56122,666.56122,4,16,1,1,21,4,3,5,2.0451658,-2.0242422,-2.5439396,7.8883815,4,2.56252,107.01,1.2601047,439.56
Fc1cc2c(cc1)CN(c1[n+H]c3c(c(NCC[N+H3])c1)cccc3)CCC2,1757,3593,607.47919,607.47919,0,16,4,0,21,4,0,4,1.1036882,-2.5153384,-1.0956728,6.4571443,4,2.6659701,57.049999,1.2528173,352.457
