index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K),r1,r2,shaft_length,theta1,theta2,torsion
0,coords_1Kps_001_0001,4154.248,0.3582236,1127.679,1127.664,17.99087,63998.07,5905110.0,1.0,1.0,1.0,1127.664,1127.664,1127.664,5.386470499139104,0.14692791873611677,4.421667149986416,167.20146933653947,6.565716948808529,14.747487983143463
1,coords_1Kps_002_0002,7842.454,0.1748893,1207.018,1207.0,60.89289,162649.6,12915300.0,1.0,1.0,1.0,1207.0,1207.0,1207.0,5.4801558862390465,0.025942392324457497,4.48282176588028,185.51751315345243,6.196532063548801,11.30405569826812
2,coords_1Kps_002_0103,9576.523,1.02644,4944.847,4944.548,5.152252e-06,1.538175,1559.147,0.01837715,1.0,1.0,90.86669,4944.548,4944.548,5.411763783278534,0.12230498188873629,3.9597327705193686,166.70930918176984,-6.711944080410063,1.6131010224610287
3,coords_1Kps_003_0003,59065.0,0.5534943,21580.01,21574.3,22.12001,82010.95,7720031.0,1.0,1.0,1.0,21574.3,21574.3,21574.3,5.382705167082837,-0.1327491278002233,4.302871141367586,146.8136907911903,0.7241779064101621,27.109136193349176
4,coords_1Kps_003_0102,2904.114,0.9388152,1434.774,1434.749,50.70531,138567.9,11089680.0,1.0,1.0,1.0,1434.749,1434.749,1434.749,5.110213820239981,-0.09935313408396018,4.520485039834221,164.22353587827558,-0.6143408067767098,3.0852129386084024
5,coords_1Kps_004_0007,3872.461,0.004196577,16.82952,16.82952,0.002077987,98.64317,36803.8,0.9994362,1.0,1.0,16.82003,16.82952,16.82952,5.169274931268786,-0.008146275596657038,4.2658572619997805,147.41598151449014,-1.0079098987155248,12.680339108838432
6,coords_1Kps_004_0105,1768.898,0.1684243,263.6842,263.6833,11.30033,46316.32,4558299.0,1.0,1.0,1.0,263.6833,263.6833,263.6833,5.366280091491719,0.19203318570919814,4.447354410073954,170.40495733521414,-0.19764761385407326,4.667554427141425
7,coords_1Kps_004_0204,20079.33,9.148696,18169.86,18165.82,0.0002234798,22.64512,12874.38,0.5527006,1.0,1.0,10040.26,18165.82,18165.82,5.124622186734182,0.13491606223787,4.140342109270955,171.24674464393263,0.7897160929264686,18.531507232815805
8,coords_1Kps_004_0306,5109.532,5.941918,4397.925,4397.688,48.49293,129596.2,10319730.0,1.0,1.0,1.0,4397.688,4397.688,4397.688,5.565854501964985,0.08491194707535854,4.008775608801896,193.76757818000777,5.723228794497189,5.69704207071846
9,coords_1Kps_005_0001,3974.232,14.89961,3733.33,3733.159,0.02037695,550.9977,149667.6,1.0,1.0,1.0,3733.159,3733.159,3733.159,5.478443137809429,0.18210219160892915,4.2816260149562355,178.42072332142533,-13.22786366750357,29.47765290676742
10,coords_1Kps_006_0203,4595.885,1.140672,2493.88,2493.803,36.75493,104461.7,8581536.0,1.0,1.0,1.0,2493.803,2493.803,2493.803,5.233099265117636,0.08823155015780548,4.544511290092395,180.66092485712423,1.8073161173428787,2.2273843974918677
11,coords_1Kps_006_0407,24986.53,2.660185,18353.34,18349.22,8.83166e-07,0.4982146,703.0038,0.003174349,1.0,1.0,58.24682,18349.22,18349.22,5.174998250602632,0.15639822604398956,4.20770763586377,162.65175835612106,18.52372634447542,34.09174296496759
12,coords_1Kps_007_0005,23645.29,0.2409931,4739.045,4738.77,18.66926,67636.91,6378849.0,1.0,1.0,1.0,4738.77,4738.77,4738.77,5.36437087869381,-0.18833139839615054,4.49534417965132,199.05261694004844,-1.694441884240888,32.36841518831223
13,coords_1Kps_007_0102,16083.19,0.2103036,2886.615,2886.513,18.21972,74549.54,7454709.0,1.0,1.0,1.0,2886.513,2886.513,2886.513,5.282422406668006,-0.04076063497765814,4.689620756230615,182.48384101638047,0.5464046610620699,28.994359781812356
14,coords_1Kps_007_0306,4377.601,44.31569,4284.645,4284.42,0.07485216,1423.984,318862.8,1.0,1.0,1.0,4284.42,4284.42,4284.42,5.113810739705222,-0.15686301946447,4.471983572716921,154.7218803277525,-18.632496977021816,35.01171856419367
15,coords_1Kps_007_0408,53578.83,0.14689,7100.996,7100.378,0.03651544,966.7024,258037.8,1.0,1.0,1.0,7100.378,7100.378,7100.378,5.1686844818891196,-0.2118285644349931,4.427218175768393,203.14467777000684,5.847530304032006,2.7276558906094746
16,coords_1Kps_007_0709,6270.052,0.2323092,1220.189,1220.171,25.74558,85680.56,7643523.0,1.0,1.0,1.0,1220.171,1220.171,1220.171,5.253727165941889,0.1775486328368836,4.228762622366884,177.73265396853526,-2.0612004067241543,16.3721673674855
17,coords_1Kps_008_0001,9233.583,2.836763,6896.297,6895.715,0.3135024,3862.339,681396.1,1.0,1.0,1.0,6895.715,6895.715,6895.715,5.284195697297081,-0.065931952170736,4.069498441461336,188.42157686516094,-10.441832855144526,12.580229710094418
18,coords_1Kps_008_0203,33023.7,0.14689,4376.75,4376.516,0.04132874,1043.689,270928.5,1.0,1.0,1.0,4376.516,4376.516,4376.516,5.383184670381147,-0.1428674895608868,4.214619769555138,185.7600288706999,-2.9912766178918986,27.892798966172894
19,coords_1Kps_008_0405,5318.861,2.541543,3859.038,3858.855,5.847205e-06,1.720678,1716.228,0.02082993,1.0,1.0,80.3797,3858.855,3858.855,5.1356563897051615,0.13237758376160302,4.535560313362096,156.71609644060004,18.94695685113659,35.05193183619222
20,coords_1Kps_009_0002,8007.514,0.7801174,3586.92,3586.762,2.329104,15730.02,2019575.0,1.0,1.0,1.0,3586.762,3586.762,3586.762,5.476390976572677,0.04248666747778751,4.4665253926682205,174.50658152452365,-1.4965975445527278,26.382444789056443
21,coords_1Kps_009_0008,6903.818,0.1748893,1062.554,1062.54,29.1517,94185.39,8296664.0,1.0,1.0,1.0,1062.54,1062.54,1062.54,5.276254250312947,-0.18306024881604577,4.1739459837652735,202.93772814148406,-10.337010099947676,31.620311264654145
22,coords_1Kps_009_0103,6867.284,10.90486,6310.881,6310.393,7.624063,36247.03,3859195.0,1.0,1.0,1.0,6310.393,6310.393,6310.393,5.380156183270646,-0.0809023597592673,4.397606451664928,172.51015655798972,8.073406001224683,27.219724270772975
23,coords_1Kps_009_0408,13041.79,0.3673265,3605.314,3605.154,0.1523052,2518.927,514784.5,1.0,1.0,1.0,3605.154,3605.154,3605.154,5.361954125923056,-0.21916742663248634,4.318629584309703,191.97870628562424,-0.8142587575740521,16.74031431756287
24,coords_1Kps_009_0506,531038.5,0.002731666,1504.536,1504.508,0.005018,232.2239,82184.64,1.0,1.0,1.0,1504.508,1504.508,1504.508,5.411491967812237,-0.08389308257322448,4.263451314900289,202.46062128777805,-10.320277671851997,29.22666429428717
25,coords_1Kps_010_0001,10624.59,1.658849,6726.22,6725.666,31.80223,100647.1,8724123.0,1.0,1.0,1.0,6725.666,6725.666,6725.666,5.175697579307922,0.020303146211654965,4.194157693163789,240.13689696548477,5.0612972091990684,38.35883366556013
26,coords_1Kps_010_0212,62425.11,0.5376162,22388.03,22381.88,11.19427,64204.0,7539638.0,1.0,1.0,1.0,22381.88,22381.88,22381.88,5.19846301986238,0.1482901733942512,4.45002776796564,180.13452614090653,6.646484841097092,17.190833616664566
27,coords_1Kps_010_0307,170661700.0,5.66921,145916000.0,52336220.0,2.115786e-14,1.892348e-06,0.04230494,7.616831e-11,0.006789299,1.0,0.003986362,355326.3,52336220.0,5.386251845720712,-0.024069571459604866,4.397561325453575,175.40700379443865,-3.2464941929224977,46.790856807291966
28,coords_1Kps_010_0410,7062.93,13.08019,6579.33,6578.799,18.09601,64652.73,5939965.0,1.0,1.0,1.0,6578.799,6578.799,6578.799,5.349554202464139,0.11713359853711891,4.304348529483411,193.0344187151623,9.064974731463352,4.2759795019087345
29,coords_1Kps_010_0506,6145.399,2.713154,4537.493,4537.241,5.224901,27181.15,3049813.0,1.0,1.0,1.0,4537.241,4537.241,4537.241,5.309000001316705,0.04039252677468763,4.339668027289069,160.09031763998317,-2.534664287139435,2.259260012577616
30,coords_1Kps_010_0813,41818.03,1.374234,24604.43,24597.01,2.134569,16815.97,2406942.0,1.0,1.0,1.0,24597.01,24597.01,24597.01,5.056146180257768,0.16776477897574438,4.5268525355924725,181.96258499924562,-0.945266782220969,18.9776275767463
31,coords_1Kps_010_0911,2956.057,0.1786495,463.2104,463.2078,1.868319,13020.8,1707677.0,1.0,1.0,1.0,463.2078,463.2078,463.2078,5.158761509365673,0.06550445501783786,3.803624745817139,156.48286663736357,19.023142803417215,30.338257358611344
32,coords_1Kps_011_0001,1508.231,1.614456,945.2942,945.2832,0.0001187459,17.40139,11489.79,0.3478529,1.0,1.0,328.8195,945.2832,945.2832,5.027678741759236,0.06768044224339942,4.31879660526807,188.7550225462117,-1.4441445965239978,7.2021269507876475
33,coords_1Kps_011_0207,7535.645,13.08019,7019.678,7019.074,26.33149,85512.52,7541672.0,1.0,1.0,1.0,7019.074,7019.074,7019.074,5.3281817054317315,-0.06143450416983853,4.4201073146474625,155.64793088924068,-5.746989291341677,11.538020212598802
