index,name,k2,K1,rAC,rcat,kg(473K),kg(673K),kg(873K),pg(473K),pg(673K),pg(873K),reff(Tg=473K),reff(Tg=673K),reff(Tg=873K)
0,coords_1Kps_001_0001,4.154248e+03,3.582236e-01,1.127679e+03,1.127664e+03,1.799087e+01,6.399807e+04,5.905110e+06,1.000000e+00,1.000000e+00,1.000000e+00,1.127664e+03,1.127664e+03,1.127664e+03
1,coords_1Kps_002_0002,7.842454e+03,1.748893e-01,1.207018e+03,1.207000e+03,6.089289e+01,1.626496e+05,1.291530e+07,1.000000e+00,1.000000e+00,1.000000e+00,1.207000e+03,1.207000e+03,1.207000e+03
2,coords_1Kps_002_0103,9.576523e+03,1.026440e+00,4.944847e+03,4.944548e+03,5.152252e-06,1.538175e+00,1.559147e+03,1.837715e-02,1.000000e+00,1.000000e+00,9.086669e+01,4.944548e+03,4.944548e+03
3,coords_1Kps_003_0003,5.906500e+04,5.534943e-01,2.158001e+04,2.157430e+04,2.212001e+01,8.201095e+04,7.720031e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.157430e+04,2.157430e+04,2.157430e+04
4,coords_1Kps_003_0102,2.904114e+03,9.388152e-01,1.434774e+03,1.434749e+03,5.070531e+01,1.385679e+05,1.108968e+07,1.000000e+00,1.000000e+00,1.000000e+00,1.434749e+03,1.434749e+03,1.434749e+03
5,coords_1Kps_004_0007,3.872461e+03,4.196577e-03,1.682952e+01,1.682952e+01,2.077987e-03,9.864317e+01,3.680380e+04,9.994362e-01,1.000000e+00,1.000000e+00,1.682003e+01,1.682952e+01,1.682952e+01
6,coords_1Kps_004_0105,1.768898e+03,1.684243e-01,2.636842e+02,2.636833e+02,1.130033e+01,4.631632e+04,4.558299e+06,1.000000e+00,1.000000e+00,1.000000e+00,2.636833e+02,2.636833e+02,2.636833e+02
7,coords_1Kps_004_0204,2.007933e+04,9.148696e+00,1.816986e+04,1.816582e+04,2.234798e-04,2.264512e+01,1.287438e+04,5.527006e-01,1.000000e+00,1.000000e+00,1.004026e+04,1.816582e+04,1.816582e+04
8,coords_1Kps_004_0306,5.109532e+03,5.941918e+00,4.397925e+03,4.397688e+03,4.849293e+01,1.295962e+05,1.031973e+07,1.000000e+00,1.000000e+00,1.000000e+00,4.397688e+03,4.397688e+03,4.397688e+03
9,coords_1Kps_005_0001,3.974232e+03,1.489961e+01,3.733330e+03,3.733159e+03,2.037695e-02,5.509977e+02,1.496676e+05,1.000000e+00,1.000000e+00,1.000000e+00,3.733159e+03,3.733159e+03,3.733159e+03
